NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Harnett,37085,NC,NA,NA,NA,NA,NA,1,NA,1
Moore,37125,NC,NA,NA,NA,NA,NA,1,NA,1
Martin,37117,NC,NA,NA,NA,NA,NA,1,NA,1
Cumberland,37051,NC,NA,NA,NA,NA,NA,NA,NA,0
Davie,37059,NC,NA,5,NA,NA,NA,1,NA,6
Halifax,37083,NC,NA,1,NA,1,NA,1,NA,2
Caldwell,37027,NC,NA,2,NA,1,NA,1,NA,3
Nash,37127,NC,NA,2,NA,NA,NA,1,NA,3
Bertie,37015,NC,NA,NA,NA,NA,NA,1,NA,1
Hoke,37093,NC,NA,NA,NA,NA,NA,1,NA,1
Bedford,47003,TN,NA,NA,NA,NA,1,1,NA,2
Gibson,47053,TN,1,NA,NA,NA,1,1,NA,3
Crockett,47033,TN,NA,NA,NA,NA,NA,NA,NA,0
Union,47173,TN,NA,1,NA,NA,1,1,NA,3
Coffee,47031,TN,NA,NA,NA,NA,1,1,NA,2
Maury,47119,TN,NA,NA,NA,NA,1,1,NA,2
Meigs,47121,TN,NA,NA,NA,NA,1,1,NA,2
McMinn,47107,TN,NA,NA,NA,NA,NA,NA,NA,0
Loudon,47105,TN,NA,1,NA,NA,1,1,NA,3
Putnam,47141,TN,NA,NA,NA,NA,1,1,NA,2
Hickman,47081,TN,NA,NA,NA,NA,1,1,NA,2
Henry,47079,TN,1,NA,NA,NA,NA,NA,NA,1
