NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Pamlico,37137,NC,6,1,NA,1,1,NA,NA,8
Tyrrell,37177,NC,5,1,NA,NA,NA,NA,NA,6
Currituck,37053,NC,31,1,NA,1,1,NA,NA,33
Northampton,37131,NC,2,1,NA,1,1,NA,NA,4
Graham,37075,NC,3,NA,NA,NA,1,NA,NA,4
Jackson,40065,OK,NA,NA,NA,NA,NA,NA,NA,0
Tillman,40141,OK,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,40067,OK,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,40023,OK,1,1,NA,NA,NA,NA,NA,2
Sequoyah,40135,OK,NA,NA,NA,NA,NA,NA,NA,0
McCurtain,40089,OK,30,10,NA,2,NA,NA,NA,40
Greenville,45045,SC,200,7,NA,2,1,NA,NA,208
Chesterfield,45025,SC,15,5,NA,2,1,NA,NA,21
Pike,28113,MS,8,1,NA,NA,1,NA,NA,10
Washington,28151,MS,NA,3,NA,NA,1,NA,NA,4
Issaquena,28055,MS,NA,NA,NA,NA,NA,NA,NA,0
DeSoto,28033,MS,2,4,NA,2,1,NA,NA,7
Claiborne,28021,MS,NA,1,NA,NA,1,NA,NA,2
Scott,29201,MO,NA,NA,NA,NA,NA,NA,NA,0
St. Charles,29183,MO,3,NA,NA,NA,NA,NA,NA,3
Bates,29013,MO,NA,NA,NA,NA,NA,NA,NA,0
Holt,29087,MO,NA,NA,NA,NA,NA,NA,NA,0
Putnam,29171,MO,NA,NA,NA,NA,NA,NA,NA,0
Cass,29037,MO,NA,NA,NA,NA,NA,NA,NA,0
Boone,29019,MO,2,NA,NA,NA,NA,NA,NA,2
Pettis,29159,MO,NA,NA,NA,NA,NA,NA,NA,0
Marengo,01091,AL,4,2,NA,NA,1,NA,NA,7
Montgomery,01101,AL,20,NA,NA,NA,1,NA,NA,21
Marshall,01095,AL,15,NA,NA,NA,NA,NA,NA,15
Breckinridge,21027,KY,NA,NA,NA,NA,NA,NA,NA,0
McClain,40087,OK,NA,NA,NA,NA,NA,NA,NA,0
Pottawatomie,40125,OK,NA,NA,NA,NA,NA,NA,NA,0
Martin,21159,KY,NA,NA,NA,NA,NA,NA,NA,0
Henderson,48213,TX,20,2,NA,NA,1,NA,NA,23
Nelson,21179,KY,NA,NA,NA,NA,NA,NA,NA,0
Ohio,21183,KY,NA,NA,NA,NA,NA,NA,NA,0
Hopkins,21107,KY,NA,NA,NA,NA,NA,NA,NA,0
Scott,21209,KY,NA,NA,NA,NA,NA,NA,NA,0
